"Accession","Min_1","Min_2","Gene","Protein"
"P29311",0.000385062928209222,0.000413164826549297,"YER177W","BMH1"
"P29453",0.0013630916980216,0.00148129818323306,"YLL045C","RPL8B"
"P29465",1.63328162356168e-05,1.38082217077816e-05,"YBR023C","CHS3"
"P29468",5.63056791458664e-05,4.78559201007894e-05,"YKR002W","PAP1"
"P29469",5.30321769325798e-05,4.60461384468972e-05,"YBL023C","MCM2"
"P29478",2.98387318603145e-05,3.10497552784696e-05,"YML105C","SEC65"
"P29496",5.6860758557132e-05,5.11106672534539e-05,"YLR274W","MCM5"
"P29509",0.000997563465506082,0.00109891428219367,"YDR353W","TRR1"
"P29539",3.46982138434416e-06,2.99314517815019e-06,"YBR275C","RIF1"
"P29547",0.000399015952134587,0.000412050841146082,"YPL048W","CAM1"
"P29703",6.96633362203317e-06,5.74278555598692e-06,"YKL019W","RAM2"
"P29704",0.000587905875657501,0.000454792501788752,"YHR190W","ERG9"
"P29952",0.000376679260972916,0.000323821375860901,"YER003C","PMI40"
"P30605",3.12946168402057e-07,2.61262962856941e-07,"YDR497C","ITR1"
"P30619",2.47567957628216e-05,2.79641025245638e-05,"YDR164C","SEC1"
"P30624",0.000245994782562341,0.000244751460686692,"YOR317W","FAA1"
"P30656",7.04347415582272e-05,7.08516281861894e-05,"YPR103W","PRE2"
"P30657",0.000135223281389374,0.000181286745142299,"YFR050C","PRE4"
"P30665",3.09673388899147e-05,2.41330621858192e-05,"YPR019W","MCM4"
"P30771",3.96533870951897e-05,3.79973976616292e-05,"YMR080C","NAM7"
"P30822",0.000347575989468649,0.000288537095838228,"YGR218W","CRM1"
"P30902",0.000331534580154223,0.000289557161108968,"YKL016C","ATP7"
"P30952",0.000541402546679696,0.000594509378545428,"YNL117W","MLS1"
"P31115",9.42691646732757e-06,9.99427685398483e-06,"YFL001W","DEG1"
"P31116",0.00095076637054579,0.00108122649488459,"YJR139C","HOM6"
"P31334",1.17665061600432e-06,1.3993408750278e-06,"YGR220C","MRPL9"
"P31373",0.000352293257228197,0.000437737112377606,"YAL012W","CYS3"
"P31374",3.57701398930783e-06,2.85081898683307e-06,"YAL017W","PSK1"
"P31380",4.15889110877744e-05,3.83331841038316e-05,"YAL019W","FUN30"
"P31381",2.85854944194163e-06,2.55791125710464e-06,"YAL022C","FUN26"
"P31382",0.000139222481125987,0.000126827317277854,"YAL023C","PMT2"
"P31383",0.000279047350751102,0.000224527080873022,"YAL016W","TPD3"
"P31384",1.84507023891636e-05,1.88821258027121e-05,"YAL021C","CCR4"
"P31385",5.64124382318508e-06,5.78099138417126e-06,"YAL013W","DEP1"
"P31412",0.000410494813443372,0.000350550483941,"YKL080W","VMA5"
"P31539",0.00130676104907769,0.00104158949168756,"YLL026W","HSP104"
"P31688",9.25988805867966e-05,0.000101992179845078,"YDR074W","TPS2"
"P31755",4.33702939657625e-07,4.51173485013118e-07,"YGL038C","OCH1"
"P31787",9.74767620520311e-05,7.41196326344664e-05,"YGR037C","ACB1"
"P32048",8.73379034426753e-06,8.29956137842655e-06,"YNL073W","MSK1"
"P32074",0.000455320508185741,0.000343824266321241,"YNL287W","SEC21"
"P32178",0.000136986782308983,0.000112330143038568,"YPR060C","ARO7"
"P32179",9.86707160144854e-05,8.23873264835225e-05,"YOL064C","MET22"
"P32190",3.48006817633706e-05,3.15458513005176e-05,"YHL032C","GUT1"
"P32191",6.61170981902751e-05,7.53900360587636e-05,"YIL155C","GUT2"
"P32259",3.82837767850274e-06,4.22223891117413e-06,"YNL236W","SIN4"
"P32263",0.000370939594477705,0.000270309102062416,"YER023W","PRO3"
"P32264",4.80737520205016e-05,4.57021081707027e-05,"YDR300C","PRO1"
"P32266",6.41275593504536e-05,6.12709191294103e-05,"YOR211C","MGM1"
"P32288",0.00131147954575778,0.00161341466795308,"YPR035W","GLN1"
"P32316",0.000514866202461901,0.00055834577669839,"YBL015W","ACH1"
"P32317",1.71917825765046e-05,1.63137916019007e-05,"YEL052W","AFG1"
"P32319",2.5152086090287e-05,2.44316057725493e-05,"YBL017C","PEP1"
"P32324",0.016439408913795,0.0147472002039366,"YOR133W","EFT1"
"P32327",0.00014995900402732,0.000150645392127469,"YBR218C","PYC2"
"P32328",1.78842049632418e-06,1.78201603385513e-06,"YPR111W","DBF20"
"P32331",0.000180777341491615,0.000159013894297865,"YPR058W","YMC1"
"P32332",0.000511181994408,0.000469013074047378,"YKL120W","OAC1"
"P32333",4.33073228013296e-05,3.22112899215517e-05,"YPL082C","MOT1"
"P32335",6.50365164093207e-05,6.84964884188732e-05,"YLR203C","MSS51"
"P32336",3.16891782993518e-06,3.75070398700897e-06,"YOR373W","NUD1"
"P32337",0.000200580832792041,0.000160435695327621,"YMR308C","PSE1"
"P32338",2.93206616936702e-07,2.89034191789518e-07,"YGR044C","RME1"
"P32339",1.23624817122995e-05,1.05929264238897e-05,"YLR205C","HMX1"
"P32340",0.000132353939967282,0.000163772246050421,"YML120C","NDI1"
"P32341",6.76824655725103e-06,5.60423271881255e-06,"YKL119C","VPH2"
"P32342",1.0097157336056e-05,1.12055727712527e-05,"YKL122C","SRP21"
"P32343",8.16124139545717e-07,9.9138009801482e-07,"YKL124W","SSH4"
"P32347",3.35890781756485e-05,2.95825859471105e-05,"YDR047W","HEM12"
"P32349",0.000132162718287882,0.000112847262824148,"YPR190C","RPC82"
"P32351",1.93526966867222e-06,1.76451109070058e-06,"YIL154C","IMP2'"
"P32352",0.000914401910580457,0.000738974763908572,"YMR202W","ERG2"
"P32353",9.58874591757808e-05,9.57669705621807e-05,"YLR056W","ERG3"
"P32354",6.94515697492278e-07,7.03238057793281e-07,"YIL150C","MCM10"
"P32356",2.85618322340977e-05,2.46953751482459e-05,"YDR001C","NTH1"
"P32364",1.09339827613534e-05,1.04732180174323e-05,"YKL079W","SMY1"
"P32366",0.000260512851038974,0.00020131658533827,"YLR447C","VMA6"
"P32367",6.20388649454639e-06,8.47222880339265e-06,"YBR123C","TFC1"
"P32368",7.80954492406475e-05,7.30521642167489e-05,"YKL212W","SAC1"
"P32375",7.71359023327106e-07,6.9115817309203e-07,"YIR027C","DAL1"
"P32377",0.000341434664083304,0.000274179086039017,"YNR043W","MVD1"
"P32378",1.30513871496876e-05,1.19074021061494e-05,"YNR041C","COQ2"
"P32379",0.000156638150920062,0.0001139837632207,"YGR253C","PUP2"
"P32380",6.43000873566232e-06,7.41950963836513e-06,"YDR356W","SPC110"
"P32381",0.000140504312843086,0.000128014579037054,"YDL029W","ARP2"
"P32386",0.000210831091645595,0.000198903431765809,"YLL048C","YBT1"
"P32387",9.89483467514294e-06,1.06994116776522e-05,"YDR405W","MRP20"
"P32419",6.57435545788772e-05,6.54708021357872e-05,"YDL078C","MDH3"
"P32445",0.000122924761270908,0.000159874943519741,"YCR028C-A","RIM1"
"P32447",2.86062595592262e-05,2.11105430035444e-05,"YJL115W","ASF1"
"P32449",0.000818626761912048,0.000732886241686845,"YBR249C","ARO4"
"P32451",6.3175642911624e-05,6.00314912379694e-05,"YGR286C","BIO2"
"P32452",1.25654288431131e-05,1.21002450669741e-05,"YNL316C","PHA2"
"P32453",5.88754957856919e-05,7.03256530645488e-05,"YNL315C","ATP11"
"P32454",0.00020428562646238,0.0001860985734108,"YKL157W","APE2"
"P32457",0.000127299408902916,0.000125254561617678,"YLR314C","CDC3"
"P32458",2.54452864801659e-05,1.99020378381638e-05,"YJR076C","CDC11"
"P32462",2.38907178538998e-06,2.10829342179159e-06,"YNL280C","ERG24"
"P32463",1.78067210807861e-05,1.54600985598945e-05,"YKL192C","ACP1"
"P32464",7.18509946560763e-06,6.20664338962656e-06,"YKL189W","HYM1"
"P32465",0.000142835121736225,0.000129409504752182,"YHR094C","HXT1"
"P32466",0.00054923175865851,0.000469693643919922,"YDR345C","HXT3"
"P32467",6.24325852316976e-05,5.01171025188503e-05,"YHR092C","HXT4"
"P32468",0.000170241840394438,0.000147205798931385,"YHR107C","CDC12"
"P32469",8.19469095698623e-05,8.81165970299186e-05,"YLR172C","DPH5"
"P32471",0.000957691072626863,0.000767834765906005,"YAL003W","EFB1"
"P32472",1.66616136733979e-05,2.1607379789313e-05,"YDR519W","FPR2"
"P32473",0.000319497984841348,0.000368366113888099,"YBR221C","PDB1"
"P32474",1.55996467551924e-05,1.22758383295909e-05,"YDR518W","EUG1"
"P32476",0.000149609833883909,0.000148353008246228,"YGR175C","ERG1"
"P32477",9.86530908499827e-05,8.9101850920881e-05,"YJL101C","GSH1"
"P32480",7.40723559972088e-06,7.45062700447631e-06,"YOR038C","HIR2"
"P32481",0.000720466513355539,0.000721155287162519,"YER025W","GCD11"
"P32485",6.00617015043396e-05,7.61797762716701e-05,"YLR113W","HOG1"
"P32486",6.98560019126799e-05,6.80598915396708e-05,"YPR159W","KRE6"
"P32487",0.00010204481954006,8.58559910681526e-05,"YNL268W","LYP1"
"P32492",3.56240710774838e-05,3.20130565637284e-05,"YAL029C","MYO4"
"P32494",7.74708048278583e-06,6.20201288930831e-06,"YDR176W","NGG1"
"P32495",1.4899560791447e-05,1.4777538095189e-05,"YDL208W","NHP2"
"P32496",0.000185502807640874,0.000149572373613119,"YFR052W","RPN12"
"P32497",0.00085900203907462,0.000692429614435304,"YMR309C","NIP1"
"P32499",0.000115667709466667,0.000116632826204745,"YLR335W","NUP2"
"P32500",7.00781667624417e-05,6.81932411013453e-05,"YML031W","NDC1"
"P32501",6.22594639719886e-05,5.18971962182159e-05,"YDR211W","GCD6"
"P32502",3.71776875392298e-05,3.32308470548788e-05,"YLR291C","GCD7"
"P32504",1.46676669900884e-05,1.18942587517159e-05,"YGR140W","CBF2"
"P32505",1.01544107061596e-05,1.24753382243874e-05,"YGL122C","NAB2"
"P32521",0.000116379185806829,0.000107215779683266,"YIR006C","PAN1"
"P32522",2.28645067061458e-06,1.98820060575168e-06,"YLR067C","PET309"
"P32523",1.98422155333181e-05,1.84033363838955e-05,"YLL036C","PRP19"
"P32527",0.000339429809384023,0.000399763589282949,"YGR285C","ZUO1"
"P32528",6.51290735574866e-05,6.21515128640408e-05,"YBR208C","DUR1,2"
"P32558",0.000266217621881815,0.000289136334411486,"YGL207W","SPT16"
"P32561",4.07396368902687e-06,4.0447682070813e-06,"YNL330C","RPD3"
"P32563",0.000405822734130081,0.000343256098587237,"YOR270C","VPH1"
"P32564",9.40377975834212e-06,8.13782937914418e-06,"YGR049W","SCM4"
"P32565",0.000848456608795258,0.00085383183062566,"YIL075C","RPN2"
"P32566",4.40717837330073e-05,4.75593923343351e-05,"YGR229C","SMI1"
"P32567",1.16020013615943e-05,1.1723854203044e-05,"YMR165C","PAH1"
"P32568",5.46466335137017e-05,4.28901420025744e-05,"YDR011W","SNQ2"
"P32569",1.55895245925422e-05,1.34247882275966e-05,"YER022W","SRB4"
"P32571",4.68498349762396e-06,4.76912436579327e-06,"YDR069C","DOA4"
"P32573",7.25204687826904e-06,7.28004719977331e-06,"YNL202W","SPS19"
"P32579",1.55206965545817e-05,1.24596860772452e-05,"YGL169W","SUA5"
"P32580",6.19688512881032e-07,5.23969004857747e-07,"YPL029W","SUV3"
"P32582",0.00098441171176764,0.00104483893389306,"YGR155W","CYS4"
"P32583",8.03291699452564e-05,7.04308419411825e-05,"YKR092C","SRP40"
"P32588",0.00015803127430234,0.000181530179504278,"YNL016W","PUB1"
"P32589",0.00244302349651183,0.00254876899683172,"YPL106C","SSE1"
"P32590",1.67752987617601e-05,1.46900600615642e-05,"YBR169C","SSE2"
"P32591",4.66959985122232e-05,4.03202908857002e-05,"YJL176C","SWI3"
"P32597",7.59533808430029e-05,6.3455197733654e-05,"YIL126W","STH1"
"P32598",0.000168854526747482,0.000142655293687385,"YER133W","GLC7"
"P32599",0.000231657553840722,0.000188473507456327,"YDR129C","SAC6"
"P32600",2.77170061729894e-05,2.61562947172973e-05,"YKL203C","TOR2"
"P32602",0.000127498696284912,0.00012156812493172,"YBL050W","SEC17"
"P32604",9.1980276494253e-06,1.02865782613607e-05,"YJL155C","FBP26"
"P32605",3.36058047670851e-06,3.33185384339439e-06,"YBR119W","MUD1"
"P32606",7.89025711222053e-07,7.88042045086332e-07,"YOR017W","PET127"
"P32608",4.98966143760687e-05,5.83022755529803e-05,"YGL252C","RTG2"
"P32610",0.000203385102026562,0.000179473529206773,"YEL051W","VMA8"
"P32611",6.21414725745216e-07,6.59283461846336e-07,"YEL050C","RML2"
"P32613",1.42566750823875e-05,1.11813282091658e-05,"YEL048C","TCA17"
"P32614",0.000166000055555114,0.000135617731038311,"YEL047C","FRD1"
"P32621",2.3776820506044e-05,2.18386196071875e-05,"YEL042W","GDA1"
"P32623",0.000136346748371137,0.000170998539531819,"YEL040W","UTR2"
"P32626",1.05668544146089e-05,1.01550009812246e-05,"YEL038W","UTR4"
"P32628",0.000107533577865373,9.9295591469112e-05,"YEL037C","RAD23"
"P32629",2.96365734395125e-05,2.80865736829678e-05,"YEL036C","ANP1"
"P32639",2.70628278324939e-05,2.36221225501219e-05,"YER172C","BRR2"
"P32642",3.02084953234748e-05,2.35343125642985e-05,"YER174C","GRX4"
"P32643",3.40085015751353e-06,3.88291605914736e-06,"YER175C","TMT1"
"P32644",5.85321443583913e-06,7.16605029908582e-06,"YER176W","ECM32"
"P32656",4.8704703502361e-06,5.15477484626384e-06,"YER163C","GCG1"
"P32657",3.67574299688672e-05,3.11090854478382e-05,"YER164W","CHD1"
"P32660",3.39290887343008e-05,2.94575596698253e-05,"YER166W","DNF1"
"P32767",5.41111684925929e-05,4.54856932426554e-05,"YGL016W","KAP122"
"P32769",7.70761124192675e-06,8.0324270295268e-06,"YKR084C","HBS1"
"P32770",8.07334532579913e-06,7.71800698812855e-06,"YDL167C","NRP1"
"P32771",1.77643624081326e-05,2.06433594055185e-05,"YDL168W","SFA1"
"P32774",4.07050201649093e-05,3.35052046304326e-05,"YKL058W","TOA2"
"P32775",1.50110634800853e-05,1.4116621620538e-05,"YEL011W","GLC3"
"P32776",9.88334438547697e-06,8.38507852844718e-06,"YDR311W","TFB1"
"P32783",2.92635124980027e-05,2.8977911355643e-05,"YBR236C","ABD1"
"P32784",1.64777510156502e-05,1.53046454950675e-05,"YBL011W","SCT1"
"P32785",1.10804054893355e-06,1.02590263624177e-06,"YBL013W","FMT1"
"P32787",3.24652934828204e-06,3.89807245451192e-06,"YJR144W","MGM101"
"P32788",1.75560529633305e-06,1.83884409566784e-06,"YBL010C","YBL010C"
"P32790",7.90248090659024e-05,0.000112370643634038,"YBL007C","SLA1"
"P32792",2.75452348687608e-05,2.3898309482026e-05,"YHR017W","YSC83"
"P32793",9.03452037472274e-06,8.79178519558003e-06,"YHR016C","YSC84"
"P32794",2.67410418516988e-05,2.84809459181319e-05,"YLR397C","AFG2"
"P32795",5.48996823155391e-05,6.80051110402167e-05,"YPR024W","YME1"
"P32796",0.000115394407756708,0.000110108494360981,"YML042W","CAT2"
"P32798",2.75248000374653e-05,2.66627617122647e-05,"YOR316C","COT1"
"P32799",0.000116511747658457,0.000148084611054754,"YGL191W","COX13"
"P32801",5.21113565956094e-06,4.5070158495532e-06,"YKL048C","ELM1"
"P32802",6.27816501796812e-06,6.32973701808865e-06,"YLR083C","EMP70"
"P32803",4.76352474839664e-05,3.82259656255435e-05,"YGL200C","EMP24"
"P32804",0.00035116254806374,0.000400787204271007,"YGL255W","ZRT1"
"P32806",3.10883632031707e-06,2.33615028525761e-06,"YJL044C","GYP6"
"P32829",8.34724334782626e-07,8.47825727511029e-07,"YMR224C","MRE11"
"P32830",8.10453232697216e-06,1.02409651486726e-05,"YBR091C","TIM12"
"P32831",1.65334089444035e-05,1.80243206165391e-05,"YBR212W","NGR1"
"P32832",4.15046421778293e-05,3.89354710167534e-05,"YMR091C","NPL6"
"P32836",0.000848386442702837,0.00105374475790487,"YOR185C","GSP2"
"P32839",4.47063277342537e-06,4.7908262431327e-06,"YDR375C","BCS1"
"P32843",0.000125661864586059,0.00012766377662578,"YMR302C","YME2"
"P32844",2.15324288507501e-05,1.61226411697865e-05,"YIL068C","SEC6"
"P32849",6.62061781739756e-06,5.79592403060235e-06,"YLR032W","RAD5"
"P32854",5.23609666255185e-06,5.49547734540745e-06,"YOR036W","PEP12"
"P32855",6.32664299814738e-06,5.31618027611188e-06,"YPR055W","SEC8"
"P32860",3.64653862762874e-05,2.76214374498214e-05,"YKL040C","NFU1"
"P32861",0.000164527049710758,0.000159960658166975,"YKL035W","UGP1"
"P32863",2.35627191024027e-06,2.06013734660743e-06,"YGL163C","RAD54"
"P32864",4.06147242016618e-05,3.3299091659343e-05,"YOR370C","MRS6"
"P32867",1.76242578271313e-07,1.32892220038365e-07,"YPL232W","SSO1"
"P32873",5.85143698655463e-06,5.97121701195256e-06,"YPL115C","BEM3"
"P32874",4.04555293105382e-06,4.04982226610146e-06,"YMR207C","HFA1"
"P32875",1.64395696927766e-05,1.86210244964794e-05,"YOR196C","LIP5"
"P32891",0.000331579754065612,0.000268872873753294,"YDL174C","DLD1"
"P32892",7.20787583118947e-05,6.27957091010685e-05,"YLL008W","DRS1"
"P32895",0.000177001261449578,0.000196211343332106,"YKL181W","PRS1"
"P32896",2.71467039310063e-05,2.29538696310586e-05,"YDR081C","PDC2"
"P32898",1.90824107088229e-05,1.82767883336066e-05,"YDR430C","CYM1"
"P32899",2.20459292055384e-05,2.28625982101727e-05,"YHR148W","IMP3"
"P32900",7.84042688872154e-07,7.96237145862374e-07,"YHR149C","SKG6"
"P32901",7.71588073364077e-07,8.00386099271946e-07,"YKR093W","PTR2"
"P32902",2.46911078369821e-05,1.99021075621912e-05,"YHL004W","MRP4"
"P32904",9.42477517779494e-06,8.91242949858588e-06,"YHR147C","MRPL6"
"P32906",2.44085808267832e-06,2.06756853682967e-06,"YJR131W","MNS1"
"P32908",8.22872931157902e-06,8.06528657642607e-06,"YFL008W","SMC1"
"P32909",7.38358237343064e-08,7.48672368950396e-08,"YBR172C","SMY2"
"P32910",7.78471478658317e-06,7.59903502489127e-06,"YNR003C","RPC34"
"P32911",7.20293409114384e-06,8.61976883292391e-06,"YNL244C","SUI1"
"P32912",3.39938692629759e-06,3.19021236654571e-06,"YGL212W","VAM7"
"P32913",2.01288901754081e-05,1.91776046653274e-05,"YOR132W","VPS17"
"P32915",0.000309463240749989,0.000267763545807466,"YLR378C","SEC61"
"P32916",6.9832035382188e-05,6.6392576033435e-05,"YDR292C","SRP101"
"P32939",8.47225906521665e-06,9.99613693775727e-06,"YML001W","YPT7"
"P33201",0.00014834111941818,0.000174148652219765,"YKL009W","MRT4"
"P33202",4.45832109646321e-05,3.48715331169581e-05,"YKL010C","UFD4"
"P33203",2.32948306965297e-06,2.39625995566146e-06,"YKL012W","PRP40"
"P33204",2.4154271002442e-05,1.91546134530652e-05,"YKL013C","ARC19"
"P33296",1.60093053685286e-07,1.19455055143264e-07,"YER100W","UBC6"
"P33297",0.000139841519667381,0.000126011094420391,"YOR117W","RPT5"
"P33298",0.000142157638930983,0.000143109143732152,"YDR394W","RPT3"
"P33299",0.000508205653722546,0.000452277884535152,"YKL145W","RPT1"
"P33302",5.80136382927077e-05,5.26999038125095e-05,"YOR153W","PDR5"
"P33303",7.64770738310361e-05,7.22687993767452e-05,"YJR095W","SFC1"
"P33307",0.000163701628203794,0.000126549979031276,"YGL238W","CSE1"
"P33308",9.03369725713222e-06,7.8988112671833e-06,"YNR010W","CSE2"
"P33309",2.38793308238666e-06,1.89290880108684e-06,"YNL001W","DOM34"
"P33310",1.58885074527892e-05,1.44450502954234e-05,"YLR188W","MDL1"
"P33311",1.75413273070299e-05,1.72986830241325e-05,"YPL270W","MDL2"
"P33313",1.00302807764792e-05,1.2311653562739e-05,"YBR155W","CNS1"
"P33314",1.83017495803232e-05,1.47324934831318e-05,"YKL092C","BUD2"
"P33315",3.19239533565709e-05,4.0238809761524e-05,"YBR117C","TKL2"
"P33317",4.03186124828596e-05,5.89633594382455e-05,"YBR252W","DUT1"
"P33322",0.0001773432902178,0.00015248405086229,"YLR175W","CBF5"
"P33324",1.21579445524118e-05,1.11828025543946e-05,"YKL091C","YKL091C"
"P33327",9.30769301537556e-05,6.94716458626441e-05,"YDL215C","GDH2"
"P33330",0.00122852848178918,0.00109826306059574,"YOR184W","SER1"
"P33331",0.00104899063566332,0.000893471822566537,"YER009W","NTF2"
"P33332",2.28148926718842e-05,1.8133715468232e-05,"YER008C","SEC3"
"P33333",9.45355691068207e-05,0.000105243685472362,"YDL052C","SLC1"
"P33334",2.79248439128135e-05,2.54633302245823e-05,"YHR165C","PRP8"
"P33338",0.000120245398160821,9.92216235804827e-05,"YNL243W","SLA2"
"P33339",2.36194859388276e-05,1.94344347333022e-05,"YGR047C","TFC4"
"P33399",0.000133458777505461,0.000139844571408908,"YDL051W","LHP1"
"P33401",6.43367054436606e-05,5.85093431559544e-05,"YKL127W","PGM1"
"P33416",0.000188507155361992,0.000150096833141268,"YDR258C","HSP78"
"P33417",7.93542212494073e-05,9.25629822749889e-05,"YKL032C","IXR1"
"P33418",4.36225536508165e-05,3.22558168162949e-05,"YKL205W","LOS1"
"P33421",2.70904259983556e-05,2.3635171298111e-05,"YKL141W","SDH3"
"P33441",2.45421747796801e-05,2.01703536092408e-05,"YML062C","MFT1"
"P33442",0.00298598952057096,0.002732070385073,"YLR441C","RPS1A"
"P33734",0.000269179971270377,0.000282083320049024,"YBR248C","HIS7"
"P33750",1.40305182163904e-05,1.63866182989069e-05,"YLL011W","SOF1"
"P33753",5.03866215372488e-06,4.57939568433627e-06,"YKR056W","TRM2"
"P33755",1.37228665047953e-05,1.54961794673564e-05,"YBR170C","NPL4"
"P33759",1.168181269179e-05,1.36552194871334e-05,"YBR251W","MRPS5"
"P33760",4.0773289108527e-06,3.4162385598228e-06,"YNL329C","PEX6"
"P33767",6.83256481646279e-05,6.27985743117781e-05,"YEL002C","WBP1"
"P33775",9.41482997309758e-05,8.12804256173539e-05,"YDL095W","PMT1"
"P33891",2.25031448013566e-05,2.12799882520219e-05,"YGL145W","TIP20"
"P33892",0.000945447526291419,0.000750759284702052,"YGL195W","GCN1"
"P33893",2.57177601433492e-06,2.08628740501198e-06,"YBL080C","PET112"
"P33894",5.27111550478937e-06,5.39520617903763e-06,"YOR219C","STE13"
"P34072",5.81138245809832e-07,6.1587632919628e-07,"YNL076W","MKS1"
"P34077",0.000112029299543979,8.69516923383107e-05,"YFR002W","NIC96"
"P34078",2.06732502454101e-06,2.5324338790669e-06,"YKL143W","LTV1"
"P34087",6.31711161106513e-05,8.00379346410277e-05,"YDR404C","RPB7"
"P34110",2.93419819462565e-05,2.40950624921345e-05,"YJL154C","VPS35"
"P34111",1.01365203194433e-05,8.21888742386888e-06,"YAL001C","TFC3"
"P34160",0.000237066688395765,0.000212531859469268,"YMR125W","STO1"
"P34162",1.37110177338796e-05,1.48407760086194e-05,"YHR041C","SRB2"
"P34163",1.59962934176457e-05,1.54867508224524e-05,"YKL140W","TGL1"
"P34167",0.00014158226465482,0.000229648060570935,"YPR163C","TIF3"
"P34216",3.83892927910813e-05,3.57670847038412e-05,"YBL047C","EDE1"
"P34219",3.63362416153029e-06,3.79661305580905e-06,"YBL054W","TOD6"
"P34220",9.02294764016062e-06,9.12825340477062e-06,"YBL055C","YBL055C"
"P34221",3.38307752674775e-05,3.23492529631948e-05,"YBL056W","PTC3"
"P34222",2.5932731667964e-05,2.64646950318554e-05,"YBL057C","PTH2"
"P34223",1.69795123637291e-05,1.79329965117015e-05,"YBL058W","SHP1"
"P34226",3.8211981425449e-06,4.4999095116498e-06,"YBL061C","SKT5"
"P34227",0.000126759569173079,0.000148634231189627,"YBL064C","PRX1"
"P34228",6.88819735060617e-06,5.78013427452247e-06,"YBL066C","SEF1"
"P34232",5.8331941223788e-07,6.11616328777697e-07,"YKL186C","MTR2"
"P34237",0.000356829848757913,0.000325735381238334,"YKL179C","COY1"
"P34241",0.000142342897578633,0.000116197281343656,"YKL014C","URB1"
"P34243",8.39275011551527e-06,7.14967252131729e-06,"YKL017C","HCS1"
"P34244",3.51320336720782e-06,3.27796595687917e-06,"YKL101W","HSL1"
"P34247",3.3450695363155e-06,3.85270830457972e-06,"YKL099C","UTP11"
"P34248",2.26817781541762e-05,1.86214087179373e-05,"YKL100C","YKL100C"
"P34253",3.90100592456465e-05,4.12918713508696e-05,"YKL110C","KTI12"
"P34730",0.000168416000616515,0.000161115432022456,"YDR099W","BMH2"
"P34756",2.84662581297023e-06,2.48089090663728e-06,"YFR019W","FAB1"
"P34760",0.00227509148731448,0.00211188034945333,"YML028W","TSA1"
"P34761",3.1219083144325e-05,4.11650227100168e-05,"YNL197C","WHI3"
"P34909",6.43964047456444e-06,6.26591606770952e-06,"YER068W","MOT2"
"P35056",2.35205120213592e-06,2.08997601016594e-06,"YDR244W","PEX5"
"P35169",2.04610730488792e-05,1.70352198770489e-05,"YJR066W","TOR1"
"P35176",4.72846397108228e-06,4.76306140141166e-06,"YDR304C","CPR5"
"P35177",1.95064701190168e-05,1.66552367793553e-05,"YBR081C","SPT7"
"P35178",4.44791012333289e-05,3.46675607199788e-05,"YDR087C","RRP1"
"P35179",0.000480986717760101,0.00038429437029665,"YDR086C","SSS1"
"P35180",4.03111614304343e-05,3.10734184776729e-05,"YGR082W","TOM20"
"P35184",2.86238709543499e-07,3.38279008025334e-07,"YIR012W","SQT1"
"P35189",5.97322553028012e-05,5.81063914808925e-05,"YPL129W","TAF14"
"P35191",1.1928229691517e-05,1.5250162982109e-05,"YFL016C","MDJ1"
"P35194",0.000138558579262343,0.000107276745893811,"YBL004W","UTP20"
"P35196",1.70237804609073e-05,1.36648261868052e-05,"YBR002C","RER2"
"P35197",3.20773125071418e-05,3.27340204206279e-05,"YDL226C","GCS1"
"P35200",1.56753316605485e-06,1.58162086037267e-06,"YLR168C","UPS2"
"P35202",1.8403503872145e-05,2.14127908042537e-05,"YOR143C","THI80"
"P35206",5.47261059915218e-06,4.45244326146195e-06,"YBR036C","CSG2"
"P35207",2.48629082857321e-05,2.04736108327606e-05,"YLR398C","SKI2"
"P35210",5.68674500771881e-06,5.18951724269673e-06,"YKL020C","SPT23"
"P35691",0.00528616696640558,0.00446005699706167,"YKL056C","TMA19"
"P35719",1.03960164055296e-05,8.26998715143074e-06,"YKL142W","MRP8"
"P35723",8.5928337954596e-05,7.02234578298134e-05,"YKL065C","YET1"
"P35724",5.56460607258717e-06,6.44563258845949e-06,"YKL064W","MNR2"
"P35728",1.0126588342386e-06,8.43463138907385e-07,"YKL059C","MPE1"
"P35729",3.92356460298733e-05,3.29151695933893e-05,"YKL057C","NUP120"
"P35732",4.30919051827602e-05,4.27090833243895e-05,"YKL054C","DEF1"
"P35735",3.70383777640779e-06,3.0783768722815e-06,"YKL051W","SFK1"
"P35817",6.21485690033735e-05,5.82165309092882e-05,"YLR399C","BDF1"
"P35844",0.000265629841257069,0.000249157488878167,"YPL145C","KES1"
"P35845",1.57332666327059e-05,1.43044949313663e-05,"YAR042W","SWH1"
"P35996",4.27572258861095e-05,4.39491122334503e-05,"YKL170W","MRPL38"
"P35997",0.00194965349887926,0.00256310954610534,"YKL156W","RPS27A"
"P35999",1.42434216665594e-05,1.16263314828303e-05,"YKL134C","OCT1"
"P36000",8.78298003755105e-05,7.23316635883163e-05,"YKL135C","APL2"
"P36004",2.04600905081983e-06,1.58816979615252e-06,"YKL168C","KKQ8"
"P36006",1.4452687046406e-05,1.19340143393507e-05,"YKL129C","MYO3"
"P36007",4.89956536413557e-05,4.18643577919518e-05,"YKL218C","SRY1"
"P36008",0.00414750754578644,0.00441967036733871,"YKL081W","TEF4"
"P36009",1.34054390452669e-05,1.22060750629543e-05,"YKL078W","DHR2"
"P36010",0.000424797832485781,0.000374087089533136,"YKL067W","YNK1"
