"Accession","Gene","Protein","Min_1","Min_2","Rich_1","Rich_2"
"P31787","YGR037C","ACB1",9.74767620520311e-05,7.41196326344664e-05,0.00013795196734601,9.79317046324239e-05
"P32048","YNL073W","MSK1",8.73379034426753e-06,8.29956137842655e-06,8.41758503437658e-06,9.12394415865482e-06
"P32074","YNL287W","SEC21",0.000455320508185741,0.000343824266321241,0.000484242983972923,0.000484381482732131
"P32178","YPR060C","ARO7",0.000136986782308983,0.000112330143038568,0.000162591094196476,0.00016671339775114
"P32179","YOL064C","MET22",9.86707160144854e-05,8.23873264835225e-05,3.40180143230006e-05,3.24703020324168e-05
"P32190","YHL032C","GUT1",3.48006817633706e-05,3.15458513005176e-05,3.40287869689067e-05,3.42468336452864e-05
"P32191","YIL155C","GUT2",6.61170981902751e-05,7.53900360587636e-05,6.51110888109848e-05,6.63138878593374e-05
"P32259","YNL236W","SIN4",3.82837767850274e-06,4.22223891117413e-06,3.04056414657925e-06,3.1956380827221e-06
"P32263","YER023W","PRO3",0.000370939594477705,0.000270309102062416,0.000335131594783841,0.000274479662820697
"P32264","YDR300C","PRO1",4.80737520205016e-05,4.57021081707027e-05,6.17977252561847e-05,6.51852344941103e-05
"P32266","YOR211C","MGM1",6.41275593504536e-05,6.12709191294103e-05,7.42228059183664e-05,7.47384453322046e-05
"P32288","YPR035W","GLN1",0.00131147954575778,0.00161341466795308,0.0008575257500542,0.00086788226139096
"P32316","YBL015W","ACH1",0.000514866202461901,0.00055834577669839,0.00072160698306511,0.000726324704074902
"P32317","YEL052W","AFG1",1.71917825765046e-05,1.63137916019007e-05,1.9865934626648e-05,2.07912946189862e-05
"P32319","YBL017C","PEP1",2.5152086090287e-05,2.44316057725493e-05,2.50628381908465e-05,2.57627302971321e-05
"P32324","YOR133W","EFT1",0.016439408913795,0.0147472002039366,0.0195396636077122,0.0193636308072062
"P32327","YBR218C","PYC2",0.00014995900402732,0.000150645392127469,0.0001319736952284,0.000132011441140353
"P32328","YPR111W","DBF20",1.78842049632418e-06,1.78201603385513e-06,1.85196052713328e-06,1.84033703885824e-06
"P32331","YPR058W","YMC1",0.000180777341491615,0.000159013894297865,0.000141641405177964,0.000148987389962098
"P32332","YKL120W","OAC1",0.000511181994408,0.000469013074047378,6.68597879416239e-05,5.53728614380438e-05
"P32333","YPL082C","MOT1",4.33073228013296e-05,3.22112899215517e-05,4.13245840218989e-05,3.79465146593979e-05
"P32335","YLR203C","MSS51",6.50365164093207e-05,6.84964884188732e-05,7.7413630069698e-05,8.22755069103222e-05
"P32336","YOR373W","NUD1",3.16891782993518e-06,3.75070398700897e-06,3.30607119291185e-06,3.81187494595068e-06
"P32337","YMR308C","PSE1",0.000200580832792041,0.000160435695327621,0.000230517390497817,0.000225560713986605
"P32338","YGR044C","RME1",2.93206616936702e-07,2.89034191789518e-07,2.51096086096618e-07,2.52143943378874e-07
"P32339","YLR205C","HMX1",1.23624817122995e-05,1.05929264238897e-05,1.24900671108739e-05,1.28162871954232e-05
"P32340","YML120C","NDI1",0.000132353939967282,0.000163772246050421,0.000146155813882719,0.000150537156326548
"P32341","YKL119C","VPH2",6.76824655725103e-06,5.60423271881255e-06,8.58523868080814e-06,8.66396141843647e-06
"P32342","YKL122C","SRP21",1.0097157336056e-05,1.12055727712527e-05,1.18727111335216e-05,1.24717736596687e-05
"P32343","YKL124W","SSH4",8.16124139545717e-07,9.9138009801482e-07,9.02567629838438e-07,7.57799921508888e-07
"P32347","YDR047W","HEM12",3.35890781756485e-05,2.95825859471105e-05,4.15848055710207e-05,4.08932601692035e-05
"P32349","YPR190C","RPC82",0.000132162718287882,0.000112847262824148,0.000156835016320358,0.00015719970948237
"P32351","YIL154C","IMP2'",1.93526966867222e-06,1.76451109070058e-06,1.86900639262859e-06,1.98652265357144e-06
"P32352","YMR202W","ERG2",0.000914401910580457,0.000738974763908572,0.000932301021353058,0.000908858322051486
"P32353","YLR056W","ERG3",9.58874591757808e-05,9.57669705621807e-05,0.000103241070231244,0.000104930516068315
"P32354","YIL150C","MCM10",6.94515697492278e-07,7.03238057793281e-07,8.00600924902388e-07,7.80714868600706e-07
"P32356","YDR001C","NTH1",2.85618322340977e-05,2.46953751482459e-05,2.99277345715344e-05,2.88946380002163e-05
"P32364","YKL079W","SMY1",1.09339827613534e-05,1.04732180174323e-05,1.09532296703741e-05,1.09322028488614e-05
"P32366","YLR447C","VMA6",0.000260512851038974,0.00020131658533827,0.000242612560139188,0.000229226317100021
"P32367","YBR123C","TFC1",6.20388649454639e-06,8.47222880339265e-06,7.36460109793415e-06,7.43386066682195e-06
"P32368","YKL212W","SAC1",7.80954492406475e-05,7.30521642167489e-05,9.98864422587206e-05,8.91463930294685e-05
"P32375","YIR027C","DAL1",7.71359023327106e-07,6.9115817309203e-07,4.01009941214268e-07,4.10241103382197e-07
"P32377","YNR043W","MVD1",0.000341434664083304,0.000274179086039017,0.00035250392308813,0.00033722799485049
"P32378","YNR041C","COQ2",1.30513871496876e-05,1.19074021061494e-05,1.25612257656786e-05,1.28064495361657e-05
"P32379","YGR253C","PUP2",0.000156638150920062,0.0001139837632207,0.000162842987231553,0.000141723121824248
"P32380","YDR356W","SPC110",6.43000873566232e-06,7.41950963836513e-06,6.66328662535042e-06,6.59603346239812e-06
"P32381","YDL029W","ARP2",0.000140504312843086,0.000128014579037054,0.000153354074238648,0.000154689163582029
"P32386","YLL048C","YBT1",0.000210831091645595,0.000198903431765809,0.000223879339788467,0.000232952587817616
"P32387","YDR405W","MRP20",9.89483467514294e-06,1.06994116776522e-05,1.15906994441262e-05,1.17012341265166e-05
"P32419","YDL078C","MDH3",6.57435545788772e-05,6.54708021357872e-05,8.0735467378226e-05,8.46892849033677e-05
"P32445","YCR028C-A","RIM1",0.000122924761270908,0.000159874943519741,0.000138433860289445,0.000145690311410001
"P32447","YJL115W","ASF1",2.86062595592262e-05,2.11105430035444e-05,3.01718543459591e-05,3.02343775455141e-05
"P32449","YBR249C","ARO4",0.000818626761912048,0.000732886241686845,0.000619873099339878,0.000668597447064632
"P32451","YGR286C","BIO2",6.3175642911624e-05,6.00314912379694e-05,2.22994840993816e-05,2.28673367813672e-05
"P32452","YNL316C","PHA2",1.25654288431131e-05,1.21002450669741e-05,1.08334243806623e-05,1.1212791012627e-05
"P32453","YNL315C","ATP11",5.88754957856919e-05,7.03256530645488e-05,7.15918802574771e-05,7.16946693669747e-05
"P32454","YKL157W","APE2",0.00020428562646238,0.0001860985734108,0.000233798829605636,0.000235614227201059
"P32457","YLR314C","CDC3",0.000127299408902916,0.000125254561617678,0.000152651229973883,0.000154680655051833
"P32458","YJR076C","CDC11",2.54452864801659e-05,1.99020378381638e-05,2.72932907387996e-05,2.66473350173983e-05
"P32462","YNL280C","ERG24",2.38907178538998e-06,2.10829342179159e-06,2.07298965409608e-06,2.14861349927308e-06
"P32463","YKL192C","ACP1",1.78067210807861e-05,1.54600985598945e-05,2.02390545550202e-05,1.85823370972975e-05
"P32464","YKL189W","HYM1",7.18509946560763e-06,6.20664338962656e-06,7.11021687143442e-06,7.78441718193721e-06
"P32465","YHR094C","HXT1",0.000142835121736225,0.000129409504752182,0.000102323408110007,0.000101840398073188
"P32466","YDR345C","HXT3",0.00054923175865851,0.000469693643919922,0.000381974288512885,0.000381078054320165
"P32467","YHR092C","HXT4",6.24325852316976e-05,5.01171025188503e-05,7.23576374299749e-05,7.40416228719641e-05
"P32468","YHR107C","CDC12",0.000170241840394438,0.000147205798931385,0.000195091580673818,0.000199183700675058
"P32469","YLR172C","DPH5",8.19469095698623e-05,8.81165970299186e-05,0.000106734140444141,0.00011192736909551
"P32471","YAL003W","EFB1",0.000957691072626863,0.000767834765906005,0.00112483020200517,0.00106891663547831
"P32472","YDR519W","FPR2",1.66616136733979e-05,2.1607379789313e-05,1.50074252261081e-05,1.61856787826467e-05
"P32473","YBR221C","PDB1",0.000319497984841348,0.000368366113888099,0.000313410937367704,0.000292486508055946
"P32474","YDR518W","EUG1",1.55996467551924e-05,1.22758383295909e-05,1.72778828312432e-05,1.60315792814098e-05
"P32476","YGR175C","ERG1",0.000149609833883909,0.000148353008246228,0.000152209695239915,0.000150368906728469
"P32477","YJL101C","GSH1",9.86530908499827e-05,8.9101850920881e-05,4.0617741635039e-05,4.15347483608816e-05
"P32480","YOR038C","HIR2",7.40723559972088e-06,7.45062700447631e-06,7.4875971901008e-06,7.59385325046108e-06
"P32481","YER025W","GCD11",0.000720466513355539,0.000721155287162519,0.000900190652215222,0.00093964743516829
"P32485","YLR113W","HOG1",6.00617015043396e-05,7.61797762716701e-05,5.68969887056485e-05,6.59174495608811e-05
"P32486","YPR159W","KRE6",6.98560019126799e-05,6.80598915396708e-05,7.96174001462233e-05,8.2396946758816e-05
"P32487","YNL268W","LYP1",0.00010204481954006,8.58559910681526e-05,7.6718336634938e-05,7.69401233898092e-05
"P32492","YAL029C","MYO4",3.56240710774838e-05,3.20130565637284e-05,3.9889410616901e-05,4.14112605358764e-05
"P32494","YDR176W","NGG1",7.74708048278583e-06,6.20201288930831e-06,7.38125969397932e-06,7.5504626575619e-06
"P32495","YDL208W","NHP2",1.4899560791447e-05,1.4777538095189e-05,1.64215821738466e-05,1.86289664529075e-05
"P32496","YFR052W","RPN12",0.000185502807640874,0.000149572373613119,0.000207913304296272,0.000188737193071747
"P32497","YMR309C","NIP1",0.00085900203907462,0.000692429614435304,0.00118241004464591,0.00113277294958879
"P32499","YLR335W","NUP2",0.000115667709466667,0.000116632826204745,0.000131244175044687,0.000141941003573761
"P32500","YML031W","NDC1",7.00781667624417e-05,6.81932411013453e-05,7.41842487464503e-05,7.51979261878265e-05
"P32501","YDR211W","GCD6",6.22594639719886e-05,5.18971962182159e-05,5.93090548662369e-05,5.63938124184148e-05
"P32502","YLR291C","GCD7",3.71776875392298e-05,3.32308470548788e-05,4.26388317673805e-05,4.35750514657827e-05
"P32504","YGR140W","CBF2",1.46676669900884e-05,1.18942587517159e-05,1.48584394304008e-05,1.53649612413276e-05
"P32505","YGL122C","NAB2",1.01544107061596e-05,1.24753382243874e-05,1.1191832708637e-05,1.09789891846009e-05
"P32521","YIR006C","PAN1",0.000116379185806829,0.000107215779683266,0.000124793979866075,0.000134031149034054
"P32522","YLR067C","PET309",2.28645067061458e-06,1.98820060575168e-06,2.64449898758752e-06,2.60241719984762e-06
"P32523","YLL036C","PRP19",1.98422155333181e-05,1.84033363838955e-05,2.08213491514566e-05,2.11464151767402e-05
"P32527","YGR285C","ZUO1",0.000339429809384023,0.000399763589282949,0.000473907387648139,0.000464320483639219
"P32528","YBR208C","DUR1,2",6.51290735574866e-05,6.21515128640408e-05,0.000120883976964606,0.000125632325122341
"P32558","YGL207W","SPT16",0.000266217621881815,0.000289136334411486,0.000326333359152982,0.000336422865243213
"P32561","YNL330C","RPD3",4.07396368902687e-06,4.0447682070813e-06,4.2972646978554e-06,3.95571116561489e-06
"P32563","YOR270C","VPH1",0.000405822734130081,0.000343256098587237,0.000371208278998491,0.000370103640618331
"P32564","YGR049W","SCM4",9.40377975834212e-06,8.13782937914418e-06,1.17071326666221e-05,1.18108044695198e-05
"P32565","YIL075C","RPN2",0.000848456608795258,0.00085383183062566,0.000946025243773001,0.000918621128284133
"P32566","YGR229C","SMI1",4.40717837330073e-05,4.75593923343351e-05,5.44653698425001e-05,6.03578375957672e-05
"P32567","YMR165C","PAH1",1.16020013615943e-05,1.1723854203044e-05,1.69507399948173e-05,1.60393611437284e-05
"P32568","YDR011W","SNQ2",5.46466335137017e-05,4.28901420025744e-05,5.00596455658902e-05,5.15607828600071e-05
"P32569","YER022W","SRB4",1.55895245925422e-05,1.34247882275966e-05,1.46187665100531e-05,1.44630091464721e-05
"P32571","YDR069C","DOA4",4.68498349762396e-06,4.76912436579327e-06,5.63642999602964e-06,6.4761294119669e-06
"P32573","YNL202W","SPS19",7.25204687826904e-06,7.28004719977331e-06,1.12316890478875e-05,1.21265602769878e-05
"P32579","YGL169W","SUA5",1.55206965545817e-05,1.24596860772452e-05,1.52293776003857e-05,1.67909594456044e-05
"P32580","YPL029W","SUV3",6.19688512881032e-07,5.23969004857747e-07,7.5130845521434e-07,7.32805446254958e-07
"P32582","YGR155W","CYS4",0.00098441171176764,0.00104483893389306,0.00134483631779192,0.00133459279906882
"P32583","YKR092C","SRP40",8.03291699452564e-05,7.04308419411825e-05,8.11577977940754e-05,8.4538294531698e-05
"P32588","YNL016W","PUB1",0.00015803127430234,0.000181530179504278,0.000193148665211072,0.000153805463880094
"P32589","YPL106C","SSE1",0.00244302349651183,0.00254876899683172,0.00305378162423286,0.0029690305109126
"P32590","YBR169C","SSE2",1.67752987617601e-05,1.46900600615642e-05,1.54150121024859e-05,1.52410144400288e-05
"P32591","YJL176C","SWI3",4.66959985122232e-05,4.03202908857002e-05,5.57615240145873e-05,5.12928515189868e-05
"P32597","YIL126W","STH1",7.59533808430029e-05,6.3455197733654e-05,7.7673953033563e-05,7.77789121523449e-05
"P32598","YER133W","GLC7",0.000168854526747482,0.000142655293687385,0.000169043714842607,0.000153734450703151
"P32599","YDR129C","SAC6",0.000231657553840722,0.000188473507456327,0.000270354085541479,0.000269738883732564
"P32600","YKL203C","TOR2",2.77170061729894e-05,2.61562947172973e-05,3.19469540976781e-05,3.31028409608142e-05
"P32602","YBL050W","SEC17",0.000127498696284912,0.00012156812493172,0.000147263426736075,0.000148970015120189
"P32604","YJL155C","FBP26",9.1980276494253e-06,1.02865782613607e-05,1.16134542224848e-05,1.20333135742506e-05
"P32605","YBR119W","MUD1",3.36058047670851e-06,3.33185384339439e-06,3.67367171817683e-06,3.61073472426248e-06
"P32606","YOR017W","PET127",7.89025711222053e-07,7.88042045086332e-07,9.18893356496109e-07,9.68226658744718e-07
"P32608","YGL252C","RTG2",4.98966143760687e-05,5.83022755529803e-05,5.69634161732538e-05,6.16994130859417e-05
"P32610","YEL051W","VMA8",0.000203385102026562,0.000179473529206773,0.000199913049823536,0.000204904557409519
"P32611","YEL050C","RML2",6.21414725745216e-07,6.59283461846336e-07,8.16942644527819e-07,8.39651528670229e-07
"P32613","YEL048C","TCA17",1.42566750823875e-05,1.11813282091658e-05,1.50514030224501e-05,1.44502504656428e-05
"P32614","YEL047C","FRD1",0.000166000055555114,0.000135617731038311,0.000154235361494835,0.000160426067094401
"P32621","YEL042W","GDA1",2.3776820506044e-05,2.18386196071875e-05,2.65632563549088e-05,2.83123290703532e-05
"P32623","YEL040W","UTR2",0.000136346748371137,0.000170998539531819,0.000178477387781607,0.00016852264822248
"P32626","YEL038W","UTR4",1.05668544146089e-05,1.01550009812246e-05,1.18742446064087e-05,1.20888710430924e-05
"P32628","YEL037C","RAD23",0.000107533577865373,9.9295591469112e-05,0.000125088839069979,0.000123339671247073
"P32629","YEL036C","ANP1",2.96365734395125e-05,2.80865736829678e-05,3.10158947853691e-05,3.1565895302307e-05
"P32639","YER172C","BRR2",2.70628278324939e-05,2.36221225501219e-05,2.90195745878103e-05,2.94485683350674e-05
"P32642","YER174C","GRX4",3.02084953234748e-05,2.35343125642985e-05,3.48162529452867e-05,3.21322913928315e-05
"P32643","YER175C","TMT1",3.40085015751353e-06,3.88291605914736e-06,2.34924709229528e-06,2.52426783172853e-06
"P32644","YER176W","ECM32",5.85321443583913e-06,7.16605029908582e-06,7.01266668574513e-06,6.9720559060317e-06
"P32656","YER163C","GCG1",4.8704703502361e-06,5.15477484626384e-06,5.8060130287241e-06,5.71522149910105e-06
"P32657","YER164W","CHD1",3.67574299688672e-05,3.11090854478382e-05,3.93775859216385e-05,3.9064326416948e-05
"P32660","YER166W","DNF1",3.39290887343008e-05,2.94575596698253e-05,3.48029327089675e-05,3.44131562940412e-05
"P32767","YGL016W","KAP122",5.41111684925929e-05,4.54856932426554e-05,6.4230766467258e-05,5.6821754641609e-05
"P32769","YKR084C","HBS1",7.70761124192675e-06,8.0324270295268e-06,1.59024682286001e-05,1.74833875126833e-05
"P32770","YDL167C","NRP1",8.07334532579913e-06,7.71800698812855e-06,8.51187670576133e-06,7.97136961160659e-06
"P32771","YDL168W","SFA1",1.77643624081326e-05,2.06433594055185e-05,2.48924933291533e-05,2.70005826926545e-05
"P32774","YKL058W","TOA2",4.07050201649093e-05,3.35052046304326e-05,4.12480116432081e-05,3.52254676668711e-05
"P32775","YEL011W","GLC3",1.50110634800853e-05,1.4116621620538e-05,2.1652710218022e-05,2.05961999377126e-05
"P32776","YDR311W","TFB1",9.88334438547697e-06,8.38507852844718e-06,1.08305885081589e-05,1.0833686174247e-05
"P32783","YBR236C","ABD1",2.92635124980027e-05,2.8977911355643e-05,3.2903700293021e-05,3.32962266881566e-05
"P32784","YBL011W","SCT1",1.64777510156502e-05,1.53046454950675e-05,1.65324074968117e-05,1.78690743266796e-05
"P32785","YBL013W","FMT1",1.10804054893355e-06,1.02590263624177e-06,1.09195372958744e-06,1.18706114993724e-06
"P32787","YJR144W","MGM101",3.24652934828204e-06,3.89807245451192e-06,3.85300985060312e-06,3.98439836341899e-06
"P32788","YBL010C","YBL010C",1.75560529633305e-06,1.83884409566784e-06,1.86004518461552e-06,1.73953085552733e-06
"P32790","YBL007C","SLA1",7.90248090659024e-05,0.000112370643634038,0.000100307392526195,0.000109641089967195
"P32792","YHR017W","YSC83",2.75452348687608e-05,2.3898309482026e-05,2.73484432728055e-05,2.78946734440243e-05
"P32793","YHR016C","YSC84",9.03452037472274e-06,8.79178519558003e-06,8.96629617738887e-06,8.80078999336322e-06
"P32794","YLR397C","AFG2",2.67410418516988e-05,2.84809459181319e-05,3.13386207675919e-05,3.29072924540703e-05
"P32795","YPR024W","YME1",5.48996823155391e-05,6.80051110402167e-05,6.12885075542058e-05,6.67541877999844e-05
"P32796","YML042W","CAT2",0.000115394407756708,0.000110108494360981,0.000159008392478485,0.000153332508355754
"P32798","YOR316C","COT1",2.75248000374653e-05,2.66627617122647e-05,1.64057404910459e-05,1.79848653698686e-05
"P32799","YGL191W","COX13",0.000116511747658457,0.000148084611054754,0.000163451003204088,0.000172978293028639
"P32801","YKL048C","ELM1",5.21113565956094e-06,4.5070158495532e-06,5.01794928183e-06,4.67519810624149e-06
"P32802","YLR083C","EMP70",6.27816501796812e-06,6.32973701808865e-06,6.49327662503511e-06,6.57489857347765e-06
"P32803","YGL200C","EMP24",4.76352474839664e-05,3.82259656255435e-05,5.20161808273331e-05,5.26084680357141e-05
"P32804","YGL255W","ZRT1",0.00035116254806374,0.000400787204271007,0.00272406002727702,0.0026252759017226
"P32806","YJL044C","GYP6",3.10883632031707e-06,2.33615028525761e-06,2.99511771612317e-06,2.90773387353846e-06
"P32829","YMR224C","MRE11",8.34724334782626e-07,8.47825727511029e-07,8.6743477337747e-07,9.45645917652429e-07
"P32830","YBR091C","TIM12",8.10453232697216e-06,1.02409651486726e-05,9.60139657697002e-06,9.76158764277959e-06
"P32831","YBR212W","NGR1",1.65334089444035e-05,1.80243206165391e-05,2.02284538563971e-05,2.06506825982387e-05
"P32832","YMR091C","NPL6",4.15046421778293e-05,3.89354710167534e-05,4.25417839497506e-05,4.18992751877626e-05
"P32836","YOR185C","GSP2",0.000848386442702837,0.00105374475790487,0.00106451132836043,0.00109260178381628
"P32839","YDR375C","BCS1",4.47063277342537e-06,4.7908262431327e-06,5.1388266510608e-06,5.40448198316687e-06
"P32843","YMR302C","YME2",0.000125661864586059,0.00012766377662578,0.000127687342757402,0.000130539821904148
"P32844","YIL068C","SEC6",2.15324288507501e-05,1.61226411697865e-05,2.20179767017586e-05,2.44829587678382e-05
"P32849","YLR032W","RAD5",6.62061781739756e-06,5.79592403060235e-06,7.91959574272898e-06,8.18139137534961e-06
"P32854","YOR036W","PEP12",5.23609666255185e-06,5.49547734540745e-06,5.51259120995451e-06,5.46758567144229e-06
"P32855","YPR055W","SEC8",6.32664299814738e-06,5.31618027611188e-06,7.80448563044166e-06,8.29315462149219e-06
"P32860","YKL040C","NFU1",3.64653862762874e-05,2.76214374498214e-05,3.56684057296521e-05,2.7926273701909e-05
"P32861","YKL035W","UGP1",0.000164527049710758,0.000159960658166975,0.000216271214423412,0.0002118206013906
"P32863","YGL163C","RAD54",2.35627191024027e-06,2.06013734660743e-06,2.42124411845882e-06,2.31123494675442e-06
"P32864","YOR370C","MRS6",4.06147242016618e-05,3.3299091659343e-05,3.7652983545503e-05,3.84617135707088e-05
"P32867","YPL232W","SSO1",1.76242578271313e-07,1.32892220038365e-07,1.85606243768097e-07,1.68853106616629e-07
"P32873","YPL115C","BEM3",5.85143698655463e-06,5.97121701195256e-06,5.72191313041875e-06,6.08039688797368e-06
"P32874","YMR207C","HFA1",4.04555293105382e-06,4.04982226610146e-06,4.17449382261068e-06,4.27131421079362e-06
"P32875","YOR196C","LIP5",1.64395696927766e-05,1.86210244964794e-05,1.65969528084814e-05,1.64940711941746e-05
"P32891","YDL174C","DLD1",0.000331579754065612,0.000268872873753294,0.000199267672483857,0.000202670220539793
"P32892","YLL008W","DRS1",7.20787583118947e-05,6.27957091010685e-05,9.29567929694517e-05,9.24887871782752e-05
"P32895","YKL181W","PRS1",0.000177001261449578,0.000196211343332106,0.000209596384450077,0.000219625131594566
"P32896","YDR081C","PDC2",2.71467039310063e-05,2.29538696310586e-05,2.66918353337448e-05,2.67806228916065e-05
"P32898","YDR430C","CYM1",1.90824107088229e-05,1.82767883336066e-05,2.24289206474758e-05,2.24353355626793e-05
"P32899","YHR148W","IMP3",2.20459292055384e-05,2.28625982101727e-05,3.22983370093037e-05,3.50927104336085e-05
"P32900","YHR149C","SKG6",7.84042688872154e-07,7.96237145862374e-07,8.85794388350844e-07,8.6554562460575e-07
"P32901","YKR093W","PTR2",7.71588073364077e-07,8.00386099271946e-07,7.29143156816933e-06,7.33272945385937e-06
"P32902","YHL004W","MRP4",2.46911078369821e-05,1.99021075621912e-05,3.17684383409236e-05,2.88025365526899e-05
"P32904","YHR147C","MRPL6",9.42477517779494e-06,8.91242949858588e-06,1.07628718269348e-05,1.12370694987088e-05
"P32906","YJR131W","MNS1",2.44085808267832e-06,2.06756853682967e-06,2.53276788392755e-06,2.61953541722686e-06
"P32908","YFL008W","SMC1",8.22872931157902e-06,8.06528657642607e-06,9.50404702580824e-06,9.91341305031184e-06
"P32909","YBR172C","SMY2",7.38358237343064e-08,7.48672368950396e-08,5.48021145405388e-08,5.37967354368539e-08
"P32910","YNR003C","RPC34",7.78471478658317e-06,7.59903502489127e-06,9.32483205369242e-06,1.01234613659754e-05
"P32911","YNL244C","SUI1",7.20293409114384e-06,8.61976883292391e-06,8.54712263133308e-06,8.90850668573469e-06
"P32912","YGL212W","VAM7",3.39938692629759e-06,3.19021236654571e-06,3.30785389761964e-06,3.29992920237912e-06
"P32913","YOR132W","VPS17",2.01288901754081e-05,1.91776046653274e-05,2.15460498157694e-05,2.23930007334606e-05
"P32915","YLR378C","SEC61",0.000309463240749989,0.000267763545807466,0.000327743843585958,0.000331577174078051
"P32916","YDR292C","SRP101",6.9832035382188e-05,6.6392576033435e-05,7.62985178532654e-05,7.75605455850224e-05
"P32939","YML001W","YPT7",8.47225906521665e-06,9.99613693775727e-06,8.4218846427492e-06,7.98142750233396e-06
"P33201","YKL009W","MRT4",0.00014834111941818,0.000174148652219765,0.000184179287302183,0.000177958833170698
"P33202","YKL010C","UFD4",4.45832109646321e-05,3.48715331169581e-05,4.58188211015697e-05,4.49269230168444e-05
"P33203","YKL012W","PRP40",2.32948306965297e-06,2.39625995566146e-06,2.57270799160387e-06,2.86635611810582e-06
"P33204","YKL013C","ARC19",2.4154271002442e-05,1.91546134530652e-05,2.531749845383e-05,2.43957971228542e-05
"P33296","YER100W","UBC6",1.60093053685286e-07,1.19455055143264e-07,1.5509910751561e-07,1.69151310443012e-07
"P33297","YOR117W","RPT5",0.000139841519667381,0.000126011094420391,0.000153822623622428,0.000151733813951715
"P33298","YDR394W","RPT3",0.000142157638930983,0.000143109143732152,0.000155816768115431,0.000161742893156658
"P33299","YKL145W","RPT1",0.000508205653722546,0.000452277884535152,0.000540581044916981,0.00054215864554524
"P33302","YOR153W","PDR5",5.80136382927077e-05,5.26999038125095e-05,5.0698472581859e-05,5.23378404933421e-05
"P33303","YJR095W","SFC1",7.64770738310361e-05,7.22687993767452e-05,9.46031957865274e-05,9.70881819871666e-05
"P33307","YGL238W","CSE1",0.000163701628203794,0.000126549979031276,0.000179855394793579,0.000177203033241883
"P33308","YNR010W","CSE2",9.03369725713222e-06,7.8988112671833e-06,9.13408846025995e-06,8.88039081738278e-06
"P33309","YNL001W","DOM34",2.38793308238666e-06,1.89290880108684e-06,2.52976292110833e-06,2.79097771413211e-06
"P33310","YLR188W","MDL1",1.58885074527892e-05,1.44450502954234e-05,1.75163699435557e-05,1.80069120276016e-05
"P33311","YPL270W","MDL2",1.75413273070299e-05,1.72986830241325e-05,1.82367344495373e-05,1.76545246244892e-05
"P33313","YBR155W","CNS1",1.00302807764792e-05,1.2311653562739e-05,1.28377016181748e-05,1.34405819473804e-05
"P33314","YKL092C","BUD2",1.83017495803232e-05,1.47324934831318e-05,1.91133222297637e-05,1.87934440925978e-05
"P33315","YBR117C","TKL2",3.19239533565709e-05,4.0238809761524e-05,2.0191615679723e-05,2.14597276202126e-05
"P33317","YBR252W","DUT1",4.03186124828596e-05,5.89633594382455e-05,5.09646406647789e-05,5.24751323572057e-05
"P33322","YLR175W","CBF5",0.0001773432902178,0.00015248405086229,0.000228990869416656,0.000236161785177237
"P33324","YKL091C","YKL091C",1.21579445524118e-05,1.11828025543946e-05,1.18214159182704e-05,1.20378563766691e-05
"P33327","YDL215C","GDH2",9.30769301537556e-05,6.94716458626441e-05,0.000138738481265931,0.000140768832336528
"P33330","YOR184W","SER1",0.00122852848178918,0.00109826306059574,0.00091476392088141,0.000927467186297089
"P33331","YER009W","NTF2",0.00104899063566332,0.000893471822566537,0.000998954067084781,0.000796608909826594
"P33332","YER008C","SEC3",2.28148926718842e-05,1.8133715468232e-05,2.59737443802738e-05,2.47330257707585e-05
"P33333","YDL052C","SLC1",9.45355691068207e-05,0.000105243685472362,0.000101825520041874,0.000104345297329879
"P33334","YHR165C","PRP8",2.79248439128135e-05,2.54633302245823e-05,3.2894588582901e-05,3.27243571380201e-05
"P33338","YNL243W","SLA2",0.000120245398160821,9.92216235804827e-05,0.00012620967734187,0.000125545382034695
"P33339","YGR047C","TFC4",2.36194859388276e-05,1.94344347333022e-05,2.42676077916594e-05,2.37395723138845e-05
"P33399","YDL051W","LHP1",0.000133458777505461,0.000139844571408908,0.000159355972661693,0.00016648447366329
"P33401","YKL127W","PGM1",6.43367054436606e-05,5.85093431559544e-05,6.76913653563114e-05,6.68313657472758e-05
"P33416","YDR258C","HSP78",0.000188507155361992,0.000150096833141268,0.000150091704670681,0.000145845071600917
"P33417","YKL032C","IXR1",7.93542212494073e-05,9.25629822749889e-05,8.68358514446447e-05,8.6368279917251e-05
"P33418","YKL205W","LOS1",4.36225536508165e-05,3.22558168162949e-05,4.77443157419905e-05,4.66310539972116e-05
"P33421","YKL141W","SDH3",2.70904259983556e-05,2.3635171298111e-05,3.37832375778109e-05,3.43292951884458e-05
"P33441","YML062C","MFT1",2.45421747796801e-05,2.01703536092408e-05,2.63587121503504e-05,2.46606175389329e-05
"P33442","YLR441C","RPS1A",0.00298598952057096,0.002732070385073,0.0032313144660005,0.00333758901552437
"P33734","YBR248C","HIS7",0.000269179971270377,0.000282083320049024,0.00019321683988306,0.000196503562304506
"P33750","YLL011W","SOF1",1.40305182163904e-05,1.63866182989069e-05,1.65789138002721e-05,1.67512881691796e-05
"P33753","YKR056W","TRM2",5.03866215372488e-06,4.57939568433627e-06,4.12464161891996e-06,4.42926881416927e-06
